Timestamp,Metric,Entity,Value,Algorithm
1765478086.346738,BUFFER,Switch1,14,ECMP
1765478086.352088,BUFFER,Switch1,28,ECMP
1765478086.3529341,DROP,Switch1,1,ECMP
1765478086.353035,DROP,Switch1,1,ECMP
1765478086.3538225,DROP,Switch1,1,ECMP
1765478086.3539422,DROP,Switch1,1,ECMP
1765478086.3547473,DROP,Switch1,1,ECMP
1765478086.354851,DROP,Switch1,1,ECMP
1765478086.354947,DROP,Switch1,1,ECMP
1765478086.3557603,DROP,Switch1,1,ECMP
1765478086.3558614,DROP,Switch1,1,ECMP
1765478086.3566506,DROP,Switch1,1,ECMP
1765478086.356765,DROP,Switch1,1,ECMP
1765478086.3576088,DROP,Switch1,1,ECMP
1765478086.3576684,BUFFER,Switch1,30,ECMP
1765478086.3576753,DROP,Switch1,1,ECMP
1765478086.3584433,DROP,Switch1,1,ECMP
1765478086.3585649,DROP,Switch1,1,ECMP
1765478086.3593557,DROP,Switch1,1,ECMP
1765478086.3594525,DROP,Switch1,1,ECMP
1765478086.3594913,DROP,Switch1,1,ECMP
1765478086.360267,DROP,Switch1,1,ECMP
1765478086.360414,BUFFER,Switch2,0,ECMP
1765478086.3610444,DROP,Switch1,1,ECMP
1765478086.361104,DROP,Switch1,1,ECMP
1765478086.3612382,DROP,Switch1,1,ECMP
1765478086.3620331,DROP,Switch1,1,ECMP
1765478086.3628595,DROP,Switch1,1,ECMP
1765478086.3629613,DROP,Switch1,1,ECMP
1765478086.363026,DROP,Switch1,1,ECMP
1765478086.3637717,BUFFER,Switch1,29,ECMP
1765478086.363836,DROP,Switch1,1,ECMP
1765478086.3646069,DROP,Switch1,1,ECMP
1765478086.3646638,DROP,Switch1,1,ECMP
1765478086.3648398,DROP,Switch1,1,ECMP
1765478086.3656285,DROP,Switch1,1,ECMP
1765478086.3657393,DROP,Switch1,1,ECMP
1765478086.36585,DROP,Switch1,1,ECMP
1765478086.3666613,DROP,Switch1,1,ECMP
1765478086.3674412,DROP,Switch1,1,ECMP
1765478086.367535,DROP,Switch1,1,ECMP
1765478086.3676305,DROP,Switch1,1,ECMP
1765478086.368426,DROP,Switch1,1,ECMP
1765478086.3692203,DROP,Switch1,1,ECMP
1765478086.3693106,BUFFER,Switch1,30,ECMP
1765478086.3693173,DROP,Switch1,1,ECMP
1765478086.3694067,DROP,Switch1,1,ECMP
1765478086.370204,DROP,Switch1,1,ECMP
1765478086.3709702,DROP,Switch1,1,ECMP
1765478086.3731718,DROP,Switch1,1,ECMP
1765478086.3760588,DROP,Switch1,1,ECMP
1765478086.3770862,BUFFER,Switch2,0,ECMP
1765478086.3783736,DROP,Switch1,1,ECMP
1765478086.379824,BUFFER,Switch1,29,ECMP
1765478086.3806334,DROP,Switch1,1,ECMP
1765478086.383528,DROP,Switch1,1,ECMP
1765478086.386452,DROP,Switch1,1,ECMP
1765478086.389374,DROP,Switch1,1,ECMP
1765478086.3916593,BUFFER,Switch1,29,ECMP
1765478086.3917158,DROP,Switch1,1,ECMP
1765478086.3921041,BUFFER,Switch2,0,ECMP
1765478086.3939636,DROP,Switch1,1,ECMP
1765478086.3974447,DROP,Switch1,1,ECMP
1765478086.3996341,DROP,Switch1,1,ECMP
1765478086.4025447,BUFFER,Switch1,30,ECMP
1765478086.4025543,DROP,Switch1,1,ECMP
1765478086.4047537,DROP,Switch1,1,ECMP
1765478086.4065666,BUFFER,Switch2,0,ECMP
1765478086.4077399,DROP,Switch1,1,ECMP
1765478086.4113183,DROP,Switch1,1,ECMP
1765478086.4147315,BUFFER,Switch1,29,ECMP
1765478086.4147902,DROP,Switch1,1,ECMP
1765478086.417631,DROP,Switch1,1,ECMP
1765478086.4205587,DROP,Switch1,1,ECMP
1765478086.4210067,BUFFER,Switch2,0,ECMP
1765478086.422851,DROP,Switch1,1,ECMP
1765478086.4258063,BUFFER,Switch1,30,ECMP
1765478086.425818,DROP,Switch1,1,ECMP
1765478086.4307292,DROP,Switch1,1,ECMP
1765478086.432297,DROP,Switch1,1,ECMP
1765478086.4344592,DROP,Switch1,1,ECMP
1765478086.435547,BUFFER,Switch2,0,ECMP
1765478086.4359968,DROP,Switch1,1,ECMP
1765478086.4374177,BUFFER,Switch1,29,ECMP
1765478086.4388776,DROP,Switch1,1,ECMP
1765478086.4423742,DROP,Switch1,1,ECMP
1765478086.4451008,DROP,Switch1,1,ECMP
1765478086.4479384,DROP,Switch1,1,ECMP
1765478086.4486203,BUFFER,Switch1,29,ECMP
1765478086.449607,BUFFER,Switch2,0,ECMP
1765478086.4514606,DROP,Switch1,1,ECMP
1765478086.4548464,DROP,Switch1,1,ECMP
1765478086.4582818,DROP,Switch1,1,ECMP
1765478086.460233,BUFFER,Switch1,29,ECMP
1765478086.4616988,DROP,Switch1,1,ECMP
1765478086.4636693,BUFFER,Switch2,0,ECMP
1765478086.465252,DROP,Switch1,1,ECMP
1765478086.4679546,DROP,Switch1,1,ECMP
1765478086.4713812,BUFFER,Switch1,30,ECMP
1765478086.4713893,DROP,Switch1,1,ECMP
1765478086.4747584,DROP,Switch1,1,ECMP
1765478086.4770248,BUFFER,Switch2,0,ECMP
1765478086.4788067,DROP,Switch1,1,ECMP
1765478086.4821951,DROP,Switch1,1,ECMP
1765478086.482895,BUFFER,Switch1,29,ECMP
1765478086.4875057,DROP,Switch1,1,ECMP
1765478086.490885,BUFFER,Switch2,0,ECMP
1765478086.4909532,DROP,Switch1,1,ECMP
1765478086.4943864,BUFFER,Switch1,30,ECMP
